time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
4/28/2016,1500,19347.83,0,0,1222.5,460,695,0,0,0,1,0,0,0,957.5,1172.5,1500,1500,297.5,60,0,11156.93,11512.35,15644.9,21178.8,15420.05,24030.08,27013.78,0,0,0,0,0,0,0,1210,1282.5,1326,1154.58,873.44,17962.45,14005.7,14415.5,15768.16,15710.14,18163.09,17962.45,0,0,0,0,0,0
4/29/2016,1590,23535.48,0,0,1140,1222.5,460,0,0,0,0,1,0,0,1500,957.5,1172.5,1500,1500,297.5,60,19347.83,11156.93,11512.35,15644.9,21178.8,15420.05,24030.08,0,0,0,0,0,0,0,1349.17,1305,1344,1370,1072.19,18576.47,18013.41,16388.15,16239.5,17062.72,17728.3,18576.47,0,0,0,0,0,0
4/30/2016,1475,28026.5,0,0,1117.5,1140,1222.5,0,0,0,0,0,1,0,1590,1500,957.5,1172.5,1500,1500,297.5,23535.48,19347.83,11156.93,11512.35,15644.9,21178.8,15420.05,0,0,0,0,0,0,0,1521.67,1380.63,1339,1365.83,1249.06,19686.67,23636.6,20516.69,18715.82,18204,18227.86,19686.67,0,0,0,0,0,0
5/1/2016,717.5,25676.33,0,0,1052.5,1117.5,1140,0,0,0,0,0,0,1,1475,1590,1500,957.5,1172.5,1500,1500,28026.5,23535.48,19347.83,11156.93,11512.35,15644.9,21178.8,0,0,0,0,0,0,0,1260.83,1320.63,1248,1235.42,1301.56,19552.93,25746.1,24146.54,21548.61,19875.9,19509.89,19552.93,0,0,0,0,0,0
5/2/2016,625,26228.5,0,0,942.5,1052.5,1117.5,1,0,0,0,0,0,0,717.5,1475,1590,1500,957.5,1172.5,1500,25676.33,28026.5,23535.48,19347.83,11156.93,11512.35,15644.9,0,0,0,0,0,0,0,939.17,1101.88,1181.5,1144.17,1192.19,19772.77,26643.78,25866.7,24562.93,22328.6,20141.1,19772.77,0,0,0,0,0,0
5/3/2016,1192.5,20661.85,0,0,657.5,942.5,1052.5,0,1,0,0,0,0,0,625,717.5,1475,1590,1500,957.5,1172.5,26228.5,25676.33,28026.5,23535.48,19347.83,11156.93,11512.35,0,0,0,0,0,0,0,845,1002.5,1120,1183.33,1153.75,20296.95,24188.89,25148.3,24825.73,23912.75,20768.22,20296.95,0,0,0,0,0,0
5/4/2016,542.5,19828.88,0,0,557.5,657.5,942.5,0,0,1,0,0,0,0,1192.5,625,717.5,1475,1590,1500,957.5,20661.85,26228.5,25676.33,28026.5,23535.48,19347.83,11156.93,0,0,0,0,0,0,0,786.67,769.38,910.5,1023.75,1075,20161.96,22239.74,23098.89,24084.41,23992.92,21807.79,20161.96,0,0,0,0,0,0
5/5/2016,807.5,22426.35,0,0,945,557.5,657.5,0,0,0,1,0,0,0,542.5,1192.5,625,717.5,1475,1590,1500,19828.88,20661.85,26228.5,25676.33,28026.5,23535.48,19347.83,0,0,0,0,0,0,0,847.5,791.88,777,893.33,1056.25,20840.1,20972.36,22286.4,22964.38,23808.07,23216.47,20840.1,0,0,0,0,0,0
5/6/2016,705,30189.88,0,0,877.5,945,557.5,0,0,0,0,1,0,0,807.5,542.5,1192.5,625,717.5,1475,1590,22426.35,19828.88,20661.85,26228.5,25676.33,28026.5,23535.48,0,0,0,0,0,0,0,685,811.88,774.5,765,956.88,22707.85,24148.37,23276.74,23867.09,24168.63,24571.72,22707.85,0,0,0,0,0,0
5/7/2016,1480,29655.65,0,0,972.5,877.5,945,0,0,0,0,0,1,0,705,807.5,542.5,1192.5,625,717.5,1475,30189.88,22426.35,19828.88,20661.85,26228.5,25676.33,28026.5,0,0,0,0,0,0,0,997.5,883.75,945.5,892.08,943.13,24557.73,27423.96,25525.19,24552.52,24831.85,25336.74,24557.73,0,0,0,0,0,0
