"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","chcig","chcigr","popg","popgr"
"102",4009,"Graham County, Arizona",129.31,129.03,130.3,129.73,129.11,130.45,130.21,130.59,20959,21508,21728,22181,22324,22527,22786,22996,1.28,0.00989869306318151,2037,0.0971897514194379
"103",4011,"Greenlee County, Arizona",130.52,132,128.56,129.6,127.97,128.09,127.89,129.73,4823,5235,5386,5347,5354,5574,5648,5772,-0.79000000000002,-0.00605271222801119,949,0.196765498652291
"104",4012,"La Paz County, Arizona",121.01,121.6,121.98,121.58,120.45,123,122.42,122.08,15147,15848,15873,15871,15967,15618,15508,15369,1.06999999999999,0.00884224444260799,222,0.0146563675975441
"105",4013,"Maricopa County, Arizona",140.76,142.46,142.26,142.77,143.47,143.51,144.23,144.74,2444612,2376039,2413770,2451398,2497802,2550592,2612345,2672410,3.98000000000002,0.028275078147201,227798,0.0931837035897721
"106",4015,"Mohave County, Arizona",128.99,128.83,129.34,129.44,129.04,129.05,128.77,128.64,137205,143120,144895,145864,147081,148797,150498,151909,-0.349999999999994,-0.00271338863477785,14704,0.107168106118582
"107",4017,"Navajo County, Arizona",127.28,128.98,129.12,129.39,129.32,129.27,130,129.54,64653,63894,64700,65234,65802,66359,67160,68065,2.25999999999999,0.0177561282212444,3412,0.0527740398744064
"108",4019,"Pima County, Arizona",143.16,144.39,144.52,144.51,144.69,145.04,145.63,146.17,658768,635425,643018,649597,650440,654497,658596,662883,3.01000000000002,0.0210254260966752,4115,0.00624650863429918
"109",4021,"Pinal County, Arizona",132.63,133.05,133.54,133.54,133.61,133.64,133.83,134.46,194447,217683,231765,243196,250120,258629,261865,269816,1.83000000000001,0.0137977833069442,75369,0.38760690573781
"110",4023,"Santa Cruz County, Arizona",122.31,123.39,124.47,125.78,126.82,128.94,129.2,130.49,25152,27905,28175,28522,28729,29027,29062,28782,8.18000000000001,0.0668792412721773,3630,0.144322519083969
"111",4025,"Yavapai County, Arizona",140.83,141.39,141.47,141.73,141.99,142.31,142.86,143.32,153206,153129,155103,156277,157797,160107,162724,165655,2.48999999999998,0.0176808918554284,12449,0.0812566087490046
"112",4027,"Yuma County, Arizona",120.88,121.68,122.58,122.4,122.79,122.61,123.03,122.81,113965,116138,118379,119622,121399,123759,125410,126271,1.93000000000001,0.0159662475181999,12306,0.107980520335191
"113",5001,"Arkansas County, Arkansas",125.15,127.1,127.02,127.51,127.28,128.22,126.62,128.61,13115,13202,13122,13162,13176,13042,12947,12745,3.46000000000001,0.0276468238114264,-370,-0.0282119710255433
"114",5003,"Ashley County, Arkansas",126.95,127.1,126.68,128.61,127.95,128.03,128.72,128.71,14923,14869,14853,14739,14671,14635,14457,14337,1.76000000000001,0.0138637258763293,-586,-0.0392682436507405
"115",5005,"Baxter County, Arkansas",128.68,130.11,131.06,132.23,132.7,133.19,133.98,134.23,31269,31371,31436,31437,31352,31340,31405,31435,5.54999999999998,0.0431302455704071,166,0.00530877226646199
"116",5007,"Benton County, Arkansas",136.39,137.81,139.27,140.04,140.4,141.94,142.7,143.2,134966,133625,137940,141788,145847,149968,154240,158777,6.81,0.0499303467996188,23811,0.176422210038084
"117",5009,"Boone County, Arkansas",129.3,128.98,129.65,130.83,130.86,130.74,131.1,131.07,24976,25086,25416,25620,25733,25810,25902,26136,1.76999999999998,0.0136890951276101,1160,0.0464445868033312
"118",5011,"Bradley County, Arkansas",110.02,117.49,120.84,121.55,122.52,124.89,126.04,127.1,8452,8213,7925,7763,7755,7709,7649,7582,17.08,0.155244500999818,-870,-0.102934216753431
"119",5013,"Calhoun County, Arkansas",123.13,119.47,120.35,120.5,121.47,124.94,125.09,127,3661,3805,3784,3811,3821,3770,3736,3704,3.86999999999999,0.0314301957280922,43,0.0117454247473368
"120",5015,"Carroll County, Arkansas",125.4,128.57,129.07,129.67,130.97,130.9,130.36,131.86,18945,18970,19148,19203,19294,19502,19373,19478,6.46000000000001,0.0515151515151516,533,0.0281340723145949
"121",5017,"Chicot County, Arkansas",118.6,120.2,120.79,122.52,122.15,123.04,123.68,126.03,8217,8167,8112,8067,7959,7886,7815,7728,7.42999999999999,0.0626475548060708,-489,-0.0595107703541439
"122",5019,"Clark County, Arkansas",132.59,134.82,136.87,136.79,137.25,137.48,139.44,139.9,13020,13428,13360,13429,13342,13292,13182,13141,7.31,0.0551323629232974,121,0.00929339477726574
"123",5021,"Clay County, Arkansas",118.15,117.72,119.4,120.73,120.69,120.9,122.54,123.58,11404,11410,11308,11248,11125,11044,10922,10812,5.42999999999999,0.0459585272958103,-592,-0.051911609961417
"124",5023,"Cleburne County, Arkansas",126.53,127.26,129.79,130.95,131.4,131.91,131.7,130.44,18396,18769,18873,18981,18945,18878,18855,18821,3.91,0.0309017624278827,425,0.0231028484453142
"125",5025,"Cleveland County, Arkansas",127.82,128.25,128.62,128.59,128.13,129.37,130.07,130.97,5782,5866,5882,5859,5914,5832,5778,5760,3.14999999999999,0.024644030668127,-22,-0.00380491179522657
"126",5027,"Columbia County, Arkansas",133.99,135.11,135.28,134.23,135.45,135.42,134.35,135.46,15705,15618,15312,15364,15253,15088,15036,15040,1.47,0.0109709679826853,-665,-0.0423432028016555
"127",5029,"Conway County, Arkansas",127.1,127.23,128.09,128.49,129.38,131.57,131.36,131.66,13791,14106,14224,14297,14397,14489,14483,14516,4.55999999999999,0.0358772619984263,725,0.0525705170038431
